antecedente	consequente	numero de pares
GO:0005789	GO:0005737	4812
GO:0005737	GO:0005789	4812
GO:0005794	GO:0005737	4812
GO:0005737	GO:0005794	4812
GO:0005813	GO:0005737	4812
GO:0005737	GO:0005813	4812
GO:0005829	GO:0005737	4812
GO:0005737	GO:0005829	4812
GO:0005737	GO:0005856	4812
GO:0005856	GO:0005737	4812
GO:0005737	GO:0005874	4812
GO:0005874	GO:0005737	4812
GO:0005737	GO:0005886	4812
GO:0005886	GO:0005737	4812
GO:0005737	GO:0005887	4812
GO:0005887	GO:0005737	4812
GO:0005911	GO:0005737	4812
GO:0005737	GO:0005911	4812
GO:0005737	GO:0005912	4812
GO:0005912	GO:0005737	4812
GO:0005737	GO:0005925	4812
GO:0005925	GO:0005737	4812
GO:0005737	GO:0005938	4812
GO:0005938	GO:0005737	4812
GO:0005737	GO:0009986	4812
GO:0009986	GO:0005737	4812
GO:0005737	GO:0010008	4812
GO:0010008	GO:0005737	4812
GO:0005737	GO:0014069	4812
GO:0014069	GO:0005737	4812
GO:0005737	GO:0015629	4812
GO:0015629	GO:0005737	4812
GO:0005737	GO:0015630	4812
GO:0015630	GO:0005737	4812
GO:0016020	GO:0005737	4812
GO:0005737	GO:0016020	4812
GO:0005737	GO:0016021	4812
GO:0016021	GO:0005737	4812
GO:0005737	GO:0016323	4812
GO:0016323	GO:0005737	4812
GO:0016324	GO:0005737	4812
GO:0005737	GO:0016324	4812
GO:0016363	GO:0005737	4812
GO:0005737	GO:0016363	4812
GO:0005737	GO:0016604	4812
GO:0016604	GO:0005737	4812
GO:0016605	GO:0005737	4812
GO:0005737	GO:0016605	4812
GO:0005737	GO:0016607	4812
GO:0016607	GO:0005737	4812
GO:0005737	GO:0030018	4812
GO:0030018	GO:0005737	4812
GO:0005737	GO:0030027	4812
GO:0030027	GO:0005737	4812
GO:0005737	GO:0030054	4812
GO:0030054	GO:0005737	4812
GO:0030424	GO:0005737	4812
GO:0005737	GO:0030424	4812
GO:0005737	GO:0030425	4812
GO:0030425	GO:0005737	4812
