HGNC ID	Approved symbol	Previous symbols	Alias symbols
HGNC:1424	CAD		GATD4
HGNC:5951	CADM1	TSLC1, IGSF4	NECL2, ST17, BL2, SYNCAM, IGSF4A, Necl-2, SYNCAM1, RA175
HGNC:29849	CADM2	IGSF4D	NECL3, Necl-3, SynCAM2
HGNC:41248	CADM2-AS1		
HGNC:41247	CADM2-AS2		
HGNC:17601	CADM3	IGSF4B	BIgR, FLJ10698, TSLL1, NECL1, SynCAM3, Necl-1
HGNC:40812	CADM3-AS1		CTA-134P22.2
HGNC:30825	CADM4	IGSF4C	TSLL2, Necl-4, SynCAM4
HGNC:1426	CADPS		CAPS, KIAA1121, CAPS1, UNC-31
HGNC:16018	CADPS2		CAPS2
HGNC:21622	CAGE1	CTAG3	bA69L16.7, CT95
HGNC:42860	CAHM		LINC00468
HGNC:1434	CALB1	CALB	
HGNC:1435	CALB2		CAL2
HGNC:1437	CALCA	CALC1	CGRP, CGRP-alpha
HGNC:1438	CALCB	CALC2	FLJ30166, CGRP-II
HGNC:29306	CALCOCO1		KIAA1536, calphoglin, Cocoa
HGNC:29912	CALCOCO2		MGC17318, NDP52
HGNC:1439	CALCP		CALC3
HGNC:1440	CALCR		CTR
HGNC:16709	CALCRL		CGRPR, CRLR
HGNC:1441	CALD1		CDM, H-CAD, L-CAD
HGNC:23494	CALHM1	FAM26C	
HGNC:23493	CALHM2	FAM26B	
HGNC:23458	CALHM3	FAM26A	bA225H22.7
HGNC:21094	CALHM4	C6orf78, FAM26D	FLJ32239
HGNC:21568	CALHM5	C6orf188, FAM26E	dJ493F7.3, MGC45451
HGNC:33391	CALHM6	C6orf187, FAM26F	RP1-93H18.5, OTTHUMP00000017061, OTTHUMP00000017062, dJ93H18.5, INAM
HGNC:40971	CALHM6-AS1		RP1-93H18.6
HGNC:1442	CALM1	CALML2	CAMI, PHKD, DD132
HGNC:1443	CALM1P1	CALML1	
HGNC:1444	CALM1P2		TCAG_1643085
HGNC:1445	CALM2		PHKD, CAMII
HGNC:1446	CALM2P1		
HGNC:1447	CALM2P2		
HGNC:1448	CALM2P3		
HGNC:39661	CALM2P4		
HGNC:1449	CALM3		PHKD
HGNC:1452	CALML3		CLP
HGNC:44682	CALML3-AS1		
HGNC:18445	CALML4		MGC4809, NY-BR-20
HGNC:18180	CALML5		CLSP
HGNC:24193	CALML6		CAGLP
HGNC:13248	CALN1		CABP8
HGNC:1455	CALR		RO, SSA, cC1qR, CRT, FLJ26680
HGNC:20407	CALR3		CRT2, FLJ25355, MGC26577, CT93
HGNC:35456	CALR4P		
HGNC:1458	CALU		
HGNC:17938	CALY	DRD1IP	CALCYON, NSG3
HGNC:1459	CAMK1		CaMKI, CaMKI-alpha
HGNC:19341	CAMK1D		CKLiK
HGNC:14585	CAMK1G		VWS1, CLICKIII, dJ272L16.1
HGNC:1460	CAMK2A	CAMKA	KIAA0968, CaMKIINalpha, CaMKIIα
HGNC:1461	CAMK2B	CAMKB	CAM2, CAMK2, CaMKIIβ
HGNC:1462	CAMK2D	CAMKD	
HGNC:1463	CAMK2G	CAMKG	
HGNC:24190	CAMK2N1		CaMKIINalpha
HGNC:24197	CAMK2N2		CaM-KIIN
HGNC:1464	CAMK4		CaMK-GR, CaMKIV
HGNC:1469	CAMKK1		DKFZp761M0423, CAMKKA, MGC34095
HGNC:1470	CAMKK2		CAMKK, KIAA0787, CAMKKB, MGC15254
HGNC:26276	CAMKMT	C2orf34	CLNMT
HGNC:28788	CAMKV		MGC8407, VACAMKL
HGNC:1471	CAMLG		CAML, GET2
HGNC:1472	CAMP		CAP18, FALL39, FALL-39, LL37
HGNC:19946	CAMSAP1		FLJ31228, DKFZp434F195
HGNC:29188	CAMSAP2	CAMSAP1L1	KIAA1078
HGNC:29307	CAMSAP3	KIAA1543	Nezha, PPP1R80
HGNC:18806	CAMTA1		KIAA0833
HGNC:40856	CAMTA1-AS1		
HGNC:40855	CAMTA1-AS2		
HGNC:53020	CAMTA1-DT		lncCAMTA1
HGNC:41446	CAMTA1-IT1		
HGNC:18807	CAMTA2		KIAA0909
HGNC:30688	CAND1		TIP120A, DKFZp434M1414, KIAA0829, TIP120
HGNC:30689	CAND2		TIP120B, KIAA0667, Tp120b
HGNC:19721	CANT1		SHAPY, SCAN-1
HGNC:1473	CANX		CNX, IP90, P90
HGNC:20040	CAP1		CAP
HGNC:31134	CAP1P1		
HGNC:31970	CAP1P2		
HGNC:20039	CAP2		
HGNC:20142	CAP2P1		
HGNC:1474	CAPG	AFCP	MCP
HGNC:1476	CAPN1		muCANP, muCL, CANP, CANPL1
HGNC:1479	CAPN2		mCANP, CANPml, CANPL2
HGNC:1480	CAPN3	LGMD2, LGMD2A	CANP3, p94, nCL-1
HGNC:1482	CAPN5	VRNI	nCL-3, HTRA3, ADNIV
HGNC:1483	CAPN6		CAPNX, CalpM, CANPX
HGNC:1484	CAPN7		PalBH
HGNC:1485	CAPN8		nCL-2
HGNC:1486	CAPN9		nCL-4, GC36
HGNC:1477	CAPN10		
HGNC:48839	CAPN10-DT	CAPN10-AS1	locus959
HGNC:1478	CAPN11		
HGNC:13249	CAPN12		
HGNC:16663	CAPN13		FLJ23523
HGNC:16664	CAPN14		
HGNC:11182	CAPN15	SOLH	
HGNC:1481	CAPNS1	CAPN4	CANP, CANPS, 30K, CDPS
HGNC:39562	CAPNS1P1		
HGNC:16371	CAPNS2		MGC12536, MGC14804
HGNC:6743	CAPRIN1	M11S1, GPIAP1	caprin-1, RNG105
HGNC:21259	CAPRIN2	C1QDC1	EEG1, FLJ22569, FLJ11391, caprin-2, RNG140
HGNC:1487	CAPS		CAPS1, MGC126562
HGNC:16471	CAPS2		
HGNC:40769	CAPS2-AS1		
HGNC:28375	CAPSL		MGC26610
HGNC:1488	CAPZA1		
HGNC:1489	CAPZA1P1	CAPZA1P	
HGNC:54563	CAPZA1P2		
HGNC:54564	CAPZA1P3		
HGNC:54565	CAPZA1P4		
HGNC:54566	CAPZA1P5		
HGNC:1490	CAPZA2		CAPZ, CAPPA2
HGNC:24205	CAPZA3		Gsg3, CAPPA3
HGNC:1491	CAPZB		
HGNC:54734	CAPZBP1		
HGNC:16394	CARD6		CINCIN1
HGNC:17057	CARD8		TUCAN, KIAA0955, CARDINAL, NDPP, Dakar
HGNC:51408	CARD8-AS1		LOC100505812, AC008392.1
HGNC:16391	CARD9		
HGNC:16422	CARD10		CARMA3, BIMP1
HGNC:16393	CARD11		CARMA1, BIMP3
HGNC:40766	CARD11-AS1		
HGNC:16446	CARD14	PSORS2	CARMA2, BIMP2
HGNC:33701	CARD16		COP1, COP, PSEUDO-ICE
HGNC:33827	CARD17		INCA
HGNC:28861	CARD18		UNQ5804, ICEBERG, pseudo-ICE
HGNC:28148	CARD19	C9orf89	MGC11115, bA370F5.1, BinCARD
HGNC:14435	CARF	ALS2CR8	FLJ21579, NYD-SP24
HGNC:17150	CARHSP1		CRHSP-24, CSDC1
HGNC:23393	CARM1		PRMT4
HGNC:23392	CARM1P1	CARM1L	
HGNC:55102	CARMAL		RP11-326A19.4
HGNC:21581	CARMIL1	LRRC16, LRRC16A	dJ501N12.1, FLJ20048, CARMIL
HGNC:27089	CARMIL2	RLTPR	LRRC16C
HGNC:20272	CARMIL3	C14orf121, LRRC16B	BC008134, crml-1
HGNC:42872	CARMN	MIR143HG	CARMEN
HGNC:23435	CARNMT1	C9orf41	FLJ25795
HGNC:51188	CARNMT1-AS1	C9orf41-AS1	
HGNC:29268	CARNS1	ATPGD1	KIAA1394
HGNC:1493	CARS1	CARS	
HGNC:40125	CARS1-AS1	CARS-AS1	
HGNC:50477	CARS1P1	CARSP1	
HGNC:50478	CARS1P2	CARSP2	
HGNC:25695	CARS2		FLJ12118
HGNC:24323	CARTPT		CART
HGNC:22933	CASC2	C10orf5	
HGNC:17040	CASC3		MLN51, BTZ
HGNC:39251	CASC4P1		
HGNC:49076	CASC6		
HGNC:45129	CASC8		LINC00860, CARLo-1
HGNC:48906	CASC9		LINC00981, ESCCAL-1, linc-JPH1
HGNC:48939	CASC11		TCONS_00014535, LINC00990, CARLo-7, ENST00000518376, MYMLR
HGNC:28245	CASC15	LINC00340	lnc-SOX4-1
HGNC:48608	CASC16	LINC00918	LOC643714
HGNC:43911	CASC17		LINC00600
HGNC:49463	CASC18		LOC101929110
HGNC:49476	CASC19	LINC01245	CARLo-6
HGNC:49477	CASC20		
HGNC:49836	CASC21	LINC01244	CARLo-2
HGNC:50627	CASC22	LINC01373	TCONS_00024290, LincRNA-ENST00000515084
HGNC:50865	CASC23		LINC01464
HGNC:16014	CASD1		FLJ21213, FLJ21879, C7orf12
HGNC:1497	CASK	TNRC8	LIN2, CAGH39, FGS4
HGNC:40126	CASK-AS1		
HGNC:20879	CASKIN1		KIAA1306, ANKS5A
HGNC:18200	CASKIN2		KIAA1139, FLJ21609, ANKS5B
HGNC:1498	CASKP1	CASKP	
HGNC:1499	CASP1	IL1BC	ICE
HGNC:43775	CASP1P1		
HGNC:43776	CASP1P2		
HGNC:43777	CASP1P3		
HGNC:1503	CASP2	NEDD2	ICH1, PPP1R57, MGC2181
HGNC:1504	CASP3		CPP32, CPP32B, Yama, apopain
HGNC:43596	CASP3P1		
HGNC:1505	CASP4		ICE(rel)II, ICH-2, TX
HGNC:53657	CASP4LP	CASP17P	
HGNC:1506	CASP5		ICE(rel)III
HGNC:1507	CASP6		MCH2
HGNC:1508	CASP7		MCH3, CMH-1, ICE-LAP3
HGNC:1509	CASP8		MCH5, MACH, FLICE, Casp-8
HGNC:1510	CASP8AP2		FLASH, CED-4, RIP25, FLJ11208, KIAA1315
HGNC:1511	CASP9		MCH6, ICE-LAP6, APAF-3, PPP1R56
HGNC:1500	CASP10		MCH4
HGNC:19004	CASP12	CASP12P1	
HGNC:1502	CASP14		MICE, MGC119078, MGC119079
HGNC:27290	CASP16P	CASP16	
HGNC:1512	CASQ1	CASQ	PDIB1
HGNC:1513	CASQ2		PDIB2
HGNC:1514	CASR	HHC, HHC1	FHH, NSHPT, GPRC2A
HGNC:15878	CASS4	C20orf32	HEFL, HEPL
HGNC:1515	CAST		
HGNC:34423	CASTOR1	GATSL3	
HGNC:37073	CASTOR2	GATSL1, GATSL2	
HGNC:29954	CASTOR3	GATS	DKFZp686B07267, STAG3OS
HGNC:26002	CASZ1		FLJ20321, ZNF693, castor, cst, SRG
HGNC:1516	CAT		
HGNC:25062	CATIP	C2orf62	MGC50811
HGNC:41080	CATIP-AS1		
HGNC:41079	CATIP-AS2		
HGNC:1525	CATR1		
HGNC:17116	CATSPER1		CATSPER
HGNC:18810	CATSPER2		
HGNC:31054	CATSPER2P1		
HGNC:20819	CATSPER3		CACRC
HGNC:23220	CATSPER4		
HGNC:20500	CATSPERB	C14orf161	FLJ14298
HGNC:28598	CATSPERD	TMEM146	MGC39581
HGNC:28491	CATSPERE	C1orf101	MGC33370
HGNC:25243	CATSPERG	C19orf15	DKFZp434A1022, FLJ46353
HGNC:19231	CATSPERZ	C11orf20, TEX40	DKFZP566E164
HGNC:1527	CAV1	CAV	
HGNC:1528	CAV2		CAV
HGNC:1529	CAV3		VIP-21, LGMD1C, VIP21, LQT9
HGNC:9688	CAVIN1	PTRF	cavin-1, CGL4
HGNC:10690	CAVIN2	SDPR	SDR, PS-p68, cavin-2
HGNC:40517	CAVIN2-AS1		LOC105373813
HGNC:9400	CAVIN3	PRKCDBP	SRBC, HSRBC, MGC20400, cavin-3
HGNC:33742	CAVIN4	MURC	cavin-4
HGNC:28617	CBARP	C19orf26	MGC40084, DOS, BARP
HGNC:1536	CBFA2T2		MTGR1, ZMYND3
HGNC:1537	CBFA2T3		MTGR2, ZMYND4, MTG16, RUNX1T3, ETO2
HGNC:1539	CBFB		PEBP2B
HGNC:1541	CBL	CBL2	RNF55, c-Cbl
HGNC:1542	CBLB		RNF56, Cbl-b
HGNC:15961	CBLC		CBL-3, CBL-SL, RNF57
HGNC:4268	CBLIF	GIF	TCN3, IF, IFMH, INF
HGNC:21225	CBLL1		HAKAI, FLJ23109, RNF188
HGNC:55074	CBLL1P1		
HGNC:26371	CBLL2	ZNF645	FLJ25735, HAKAIL, CT138
HGNC:1543	CBLN1		
HGNC:1544	CBLN2		
HGNC:20146	CBLN3		
HGNC:16231	CBLN4	CBLNL1	dJ885A10.1
HGNC:1548	CBR1	CBR	SDR21C1
HGNC:1549	CBR3		SDR21C2
HGNC:43664	CBR3-AS1		PlncRNA-1
HGNC:25891	CBR4		FLJ14431, SDR45C1
HGNC:1550	CBS		HIP4
HGNC:51829	CBSL		
HGNC:17134	CBWD1		
HGNC:17907	CBWD2		
HGNC:18519	CBWD3		bA561O23.1
HGNC:18520	CBWD4P		
HGNC:24584	CBWD5		
HGNC:31978	CBWD6	CBWD7	OTTHUMG00000066820, OTTHUMG00000067194
HGNC:1551	CBX1		HP1Hs-beta, M31, MOD1, CBX, HP1-BETA
HGNC:38655	CBX1P1		
HGNC:38656	CBX1P2		
HGNC:38657	CBX1P3		
HGNC:38658	CBX1P4		
HGNC:21006	CBX1P5	CBX9	
HGNC:1552	CBX2	CDCA6	MGC10561
HGNC:1553	CBX3		HP1Hs-gamma
HGNC:33950	CBX3P1		
HGNC:42874	CBX3P2		
HGNC:42875	CBX3P3		
HGNC:42876	CBX3P4		
HGNC:42877	CBX3P5		
HGNC:42878	CBX3P6		
HGNC:42879	CBX3P7		
HGNC:42880	CBX3P8		
HGNC:42881	CBX3P9		
HGNC:1554	CBX4		hPC2, PC2, NBP16
HGNC:1555	CBX5		HP1Hs-alpha, HP1, HP1-ALPHA
HGNC:38659	CBX5P1		
HGNC:1556	CBX6		
HGNC:1557	CBX7		
HGNC:15962	CBX8		RC1, HPC3, PC3
HGNC:1307	CBY1	C22orf2, PGEA1	PIGEA14, PIGEA-14, Chibby, Cby, Chibby1
HGNC:54769	CBY1P1		
HGNC:30720	CBY2	SPERT	NURIT
HGNC:33278	CBY3		
HGNC:30237	CC2D1A		FLJ20241, MRT3, Freud-1
HGNC:29386	CC2D1B		KIAA1836, Freud-2
HGNC:29253	CC2D2A		KIAA1345, MKS6, JBTS9
HGNC:31666	CC2D2B	C10orf130, C10orf131	bA248J23.4, bA690P14.3
HGNC:24236	CCAR1		FLJ10590, CARP-1, CARP1
HGNC:23360	CCAR2	KIAA1967	DBC-1, DBC1, NET35
HGNC:45128	CCAT1		CARLo-5, onco-lncRNA-40
HGNC:47044	CCAT2		NCCP1, LINC00873
HGNC:29426	CCBE1		FLJ30681, KIAA1983
HGNC:23813	CCDC3		DKFZp761F241
HGNC:18782	CCDC6	TST1, D10S170	PTC, TPC, H4
HGNC:26533	CCDC7	C10orf68	FLJ32762, FLJ13031, BIOT2
HGNC:25367	CCDC8		DKFZp564K0322, 3M3, PPP1R20
HGNC:24560	CCDC9		DKFZP586M1019
HGNC:33488	CCDC9B	C15orf52	FLJ43339
HGNC:43919	CCDC11P1		
HGNC:28332	CCDC12		MGC23918
HGNC:54595	CCDC12P1		
HGNC:26358	CCDC13		FLJ25467
HGNC:41142	CCDC13-AS1		
HGNC:25766	CCDC14		FLJ12892, DKFZp434L1050
HGNC:25798	CCDC15		FLJ13215
HGNC:54193	CCDC15-DT		
HGNC:26574	CCDC17		FLJ33084
HGNC:30370	CCDC18		NY-SAR-41
HGNC:52262	CCDC18-AS1		ENST00000440778.1
HGNC:28909	CCDC22	CXorf37	JM1
HGNC:28688	CCDC24		MGC45441
HGNC:25591	CCDC25		FLJ10853
HGNC:28416	CCDC26		MGC27434, RAM
HGNC:26546	CCDC27		FLJ32825
HGNC:21098	CCDC28A	C6orf80	CCRL1AP, DKFZp586D0623
HGNC:51715	CCDC28A-AS1	GVQW2	
HGNC:28163	CCDC28B		MGC1203, RP4-622L5.5
HGNC:26103	CCDC30		FLJ20972, PFD6L, LOC728621
HGNC:28295	CCDC32	C15orf57	MGC20481
HGNC:26552	CCDC33		FLJ32855, CT61
HGNC:25079	CCDC34		NY-REN-41, L15, RAMA3
HGNC:44008	CCDC34P1		
HGNC:49641	CCDC37-DT	CCDC37-AS1	
HGNC:26843	CCDC38		FLJ40089
HGNC:25244	CCDC39		DKFZp434A128, CILD14, FAP59, CFAP59
HGNC:41089	CCDC39-AS1		
HGNC:26090	CCDC40		FLJ20753, KIAA1640, FLJ32021, CILD15, FAP172, CFAP172
HGNC:26528	CCDC42		FLJ32734, CCDC42A
HGNC:26472	CCDC43		FLJ31795
HGNC:24856	CCDC47		GK001
HGNC:18111	CCDC50	C3orf6, DFNA44	Ymer
HGNC:25714	CCDC51		FLJ12436
HGNC:30703	CCDC54		NYD-SP17, FLJ25362, SP17
HGNC:27564	CCDC57		FLJ00130, FLJ23754
HGNC:31136	CCDC58		FLJ33273
HGNC:32457	CCDC58P1		
HGNC:45025	CCDC58P2		
HGNC:45026	CCDC58P3		
HGNC:45027	CCDC58P4		
HGNC:45028	CCDC58P5		
HGNC:25005	CCDC59		HSPC128, TAP26, BR22
HGNC:28610	CCDC60		MGC39827
HGNC:33629	CCDC61		
HGNC:30723	CCDC62		TSP-NY, FLJ40344, CT109, ERAP75
HGNC:26669	CCDC63		ODA5, FLJ35843
HGNC:29937	CCDC65		NYD-SP28, FLJ35732, FAP250, CFAP250, CILD27, DRC2
HGNC:27709	CCDC66		DKFZp686C0433
HGNC:24350	CCDC68		SE57-1
HGNC:24487	CCDC69		FLJ13705, DKFZP434C171
HGNC:25303	CCDC70		DKFZP434K1172, FLJ25853
HGNC:25760	CCDC71		FLJ12800
HGNC:26685	CCDC71L	C7orf74	FLJ36031
HGNC:23261	CCDC73		NY-SAR-79
HGNC:25197	CCDC74A		FLJ40345
HGNC:25267	CCDC74B		DKFZp434E2321
HGNC:51917	CCDC74BP1		
HGNC:42659	CCDC75P1		
HGNC:28203	CCDC77		MGC13183
HGNC:14153	CCDC78	C16orf25	FLJ34512
HGNC:30649	CCDC80	LINC01279	URB, SSG1, DRO1, CL2, TCONS_00006930
HGNC:26281	CCDC81		FLJ16339, FLJ23514
HGNC:26282	CCDC82		FLJ23518
HGNC:28535	CCDC83		MGC34732, FLJ42119, CT148, KP-CoT-23
HGNC:29400	CCDC85A		KIAA1912
HGNC:24926	CCDC85B		DIPA
HGNC:35459	CCDC85C		
HGNC:28359	CCDC86		MGC2574
HGNC:25579	CCDC87		FLJ10786
HGNC:25523	CCDC88A	KIAA1212	FLJ10392, APE, GIV, HkRP1, GRDN
HGNC:26757	CCDC88B	CCDC88	FLJ37970, BRLZ, HkRP3, FLJ00354, GIPIE
HGNC:19967	CCDC88C	KIAA1509	DAPLE, HkRP2, SCA40
HGNC:26762	CCDC89		FLJ38159
HGNC:28108	CCDC90B		MDS025, MDS011
HGNC:24855	CCDC91		p56, FLJ11088, DKFZp779L1558
HGNC:29563	CCDC92		FLJ22471
HGNC:52279	CCDC92B		
HGNC:25611	CCDC93		FLJ10996
HGNC:26900	CCDC96		FLJ90575
HGNC:28289	CCDC97		FLJ40267, MGC20255
HGNC:28097	CCDC102A		MGC10992
HGNC:26295	CCDC102B	C18orf14, ACY1L	FLJ23594, HsT1731, AN
HGNC:32700	CCDC103		FLJ13094, FLJ34211, PR46b, CILD17
HGNC:26866	CCDC105		FLJ40365
HGNC:30181	CCDC106		HSU79303
HGNC:28465	CCDC107		MGC31967
HGNC:28504	CCDC110		KM-HN-1, MGC33607, CT52
HGNC:28599	CCDC112		MGC39633
HGNC:25002	CCDC113		HSPC065, DKFZp434N1418
HGNC:26560	CCDC114		FLJ32926, CILD20
HGNC:28178	CCDC115		MGC12981, FLJ30131, ccp1
HGNC:26688	CCDC116		FLJ36046
HGNC:26599	CCDC117		FLJ33814
HGNC:28910	CCDC120		JM11
HGNC:25833	CCDC121		FLJ43364, FLJ13646
HGNC:55052	CCDC121P1		
HGNC:26478	CCDC122		FLJ31846
HGNC:25171	CCDC124		
HGNC:28924	CCDC125		KENAE
HGNC:22398	CCDC126		FLJ23031
HGNC:30520	CCDC127		FLJ25701
HGNC:28118	CCDC130		MGC10471
HGNC:26185	CCDC134		FLJ22349
HGNC:22225	CCDC136		KIAA1793, NAG6, DKFZP434G156
HGNC:33451	CCDC137		MGC16597
HGNC:33459	CCDC137P		
HGNC:26531	CCDC138		FLJ32745
HGNC:26514	CCDC140		FLJ32447
HGNC:26821	CCDC141		FLJ39502, CAMDI
HGNC:25889	CCDC142		FLJ14397
HGNC:29072	CCDC144A		KIAA0565, FLJ43983
HGNC:26704	CCDC144B		FLJ36492
HGNC:29073	CCDC144CP	CCDC144C	
HGNC:33735	CCDC144NL		MGC87631
HGNC:51340	CCDC144NL-AS1		
HGNC:29296	CCDC146		KIAA1505, MBO2
HGNC:25191	CCDC148		MGC125588
HGNC:44134	CCDC148-AS1		
HGNC:25405	CCDC149		DKFZp761B107
HGNC:26834	CCDC150		FLJ39660
HGNC:50280	CCDC150P1		
HGNC:28303	CCDC151		MGC20983, ODA10
HGNC:34438	CCDC152		LOC100129792
HGNC:27446	CCDC153		LOC283152
HGNC:34454	CCDC154	C16orf29	LOC645811
HGNC:33854	CCDC157		
HGNC:26374	CCDC158		FLJ25770
HGNC:26996	CCDC159		
HGNC:37286	CCDC160		
HGNC:21565	CCDC162P	C6orf184, C6orf185, CCDC162, C6orf183	bA425D10.7, bA425D10.3, bA487F23.3
HGNC:27003	CCDC163	C1orf231, CCDC163P	LOC126661
HGNC:41910	CCDC166		
HGNC:21239	CCDC167	C6orf129	dJ153P14.2
HGNC:26851	CCDC168	C13orf40	FLJ40176
HGNC:34361	CCDC169	C13orf38	RP11-251J8.1, LOC728591
HGNC:38866	CCDC169-SOHLH2	C13orf38-SOHLH2	
HGNC:21177	CCDC170	C6orf97	FLJ23305, bA282P11.1
HGNC:29828	CCDC171	C9orf93	FLJ39267, FLJ46740, Em:AL513423.1, bA778P13.1, bA536D16.1
HGNC:30524	CCDC172	C10orf96	MGC35062
HGNC:25064	CCDC173	C2orf77	LOC129881
HGNC:28033	CCDC174	C3orf19	FLJ33839
HGNC:19847	CCDC175	C14orf38	
HGNC:23243	CCDC177	C14orf162	PLPL
HGNC:29588	CCDC178	C18orf34	FLJ44050
HGNC:44653	CCDC179		
HGNC:29303	CCDC180	KIAA1529, C9orf174	DKFZp434I2420, BDAG1, FAP76, CFAP76
HGNC:28051	CCDC181	C1orf114	FLJ25846
HGNC:49392	CCDC182		
HGNC:28236	CCDC183	KIAA1984	MGC15438, bA216L13.7
HGNC:44105	CCDC183-AS1	KIAA1984-AS1	
HGNC:33749	CCDC184	C12orf68	LOC387856
HGNC:26654	CCDC185	C1orf65	FLJ35728
HGNC:24349	CCDC186	C10orf118	FLJ10188, FLJ35301, CCCP-1, golgin104
HGNC:30942	CCDC187		MGC50722
HGNC:51899	CCDC188		
HGNC:28078	CCDC189	C16orf93	MGC104706
HGNC:28736	CCDC190	C1orf110	MGC48998
HGNC:29272	CCDC191	KIAA1407	
HGNC:49566	CCDC192	LINC01183	
HGNC:53438	CCDC194		
HGNC:53441	CCDC195		
HGNC:20100	CCDC196	C14orf53, NCRNA00238, LINC00238	
HGNC:19860	CCDC197	LINC00521, C14orf48	
HGNC:20189	CCDC198	C14orf105	FLJ10650
HGNC:43658	CCDC200	TMEM106A-AS1, LINC00854	
HGNC:54081	CCDC201		
HGNC:51693	CCEPR		CCHE1
HGNC:28373	CCER1	C12orf12	MGC26598
HGNC:44662	CCER2		
HGNC:13930	CCHCR1	C6orf18	HCR
HGNC:1568	CCIN		KBTBD14, BTBD20
HGNC:1569	CCK		
HGNC:1570	CCKAR		
HGNC:1571	CCKBR		
HGNC:10609	CCL1	SCYA1	I-309, TCA3, P500, SISe
HGNC:10618	CCL2	SCYA2	MCP1, MCP-1, MCAF, SMC-CF, GDCF-2, HC11, MGC9434
HGNC:10627	CCL3	SCYA3	G0S19-1, LD78ALPHA, MIP-1-alpha
HGNC:10628	CCL3L1	D17S1718, SCYA3L, SCYA3L1	G0S19-2, LD78BETA
HGNC:30554	CCL3L3		MGC12815
HGNC:10629	CCL3P1	SCYA3L2, CCL3L2	LD78gamma
HGNC:10630	CCL4	LAG1, SCYA4	MIP-1-beta, Act-2, AT744.1
HGNC:10631	CCL4L1	SCYA4L, CCL4L	AT744.2, LAG-1
HGNC:24066	CCL4L2		
HGNC:10632	CCL5	D17S136E, SCYA5	RANTES, SISd, TCP228, MGC17164
HGNC:10634	CCL7	SCYA6, SCYA7	MCP-3, NC28, FIC, MARC, MCP3
HGNC:10635	CCL8	SCYA8	MCP-2, HC14
HGNC:10610	CCL11	SCYA11	eotaxin, MGC22554
HGNC:10611	CCL13	SCYA13	MCP-4, NCC-1, SCYL1, CKb10, MGC17134
HGNC:10612	CCL14	SCYA14	HCC-1, HCC-3, NCC-2, SCYL2, CKb1, MCIF
HGNC:10613	CCL15	SCYA15	HCC-2, NCC-3, SCYL3, MIP-5, Lkn-1, MIP-1d, HMRP-2B
HGNC:44436	CCL15-CCL14		
HGNC:10614	CCL16	SCYA16	NCC-4, SCYL4, LEC, HCC-4, LMC, LCC-1, CKb12, Mtn-1
HGNC:10615	CCL17	SCYA17	TARC, ABCD-2
HGNC:10616	CCL18	SCYA18	DC-CK1, PARC, AMAC-1, DCCK1, MIP-4, CKb7
HGNC:10617	CCL19	SCYA19	ELC, MIP-3b, exodus-3, CKb11
HGNC:10619	CCL20	SCYA20	LARC, MIP-3a, exodus-1, ST38, CKb4
HGNC:10620	CCL21	SCYA21	SLC, exodus-2, TCA4, CKb9, 6Ckine, ECL
HGNC:10621	CCL22	SCYA22	MDC, STCP-1, ABCD-1, DC/B-CK, A-152E5.1, MGC34554
HGNC:10622	CCL23	SCYA23	Ckb-8, MPIF-1, MIP-3, CKb8
HGNC:10623	CCL24	SCYA24	Ckb-6, MPIF-2, eotaxin-2, MPIF2
HGNC:10624	CCL25	SCYA25	TECK, Ckb15
HGNC:10625	CCL26	SCYA26	MIP-4alpha, eotaxin-3, IMAC, MIP-4a, TSC-1
HGNC:10626	CCL27	SCYA27	ALP, ILC, CTACK, skinkine, ESkine, PESKY, CTAK
HGNC:17700	CCL28		SCYA28, MEC, CCK1
HGNC:21708	CCM2	C7orf22	MGC4607, OSM
HGNC:16153	CCM2L	C20orf160	dJ310O13.5
HGNC:2654	CCN1	IGFBP10, CYR61	GIG1
HGNC:2500	CCN2	CTGF	IGFBP8
HGNC:7885	CCN3	NOV	IGFBP9
HGNC:12769	CCN4	WISP1-OT1, WISP1-UT1, WISP1	WISP-1
HGNC:12770	CCN5	WISP2	CT58, CTGF-L, WISP-2
HGNC:12771	CCN6	WISP3	WISP-3
HGNC:1577	CCNA1		CT146
HGNC:1578	CCNA2	CCNA, CCN1	
HGNC:1579	CCNB1	CCNB	
HGNC:19437	CCNB1IP1	C14orf18	HEI10
HGNC:37693	CCNB1IP1P1		
HGNC:37694	CCNB1IP1P2		
HGNC:37695	CCNB1IP1P3		
HGNC:1580	CCNB2		HsT17299
HGNC:50850	CCNB2P1		
HGNC:18709	CCNB3		
HGNC:50851	CCNB3P1		
HGNC:1581	CCNC		CycC
HGNC:1582	CCND1	BCL1, D11S287E, PRAD1	U21B31
HGNC:1583	CCND2		
HGNC:49398	CCND2-AS1	CCND2-AS2	
HGNC:1584	CCND2P1	CCND2P	
HGNC:1585	CCND3		
HGNC:1586	CCND3P1	CCND3P	
HGNC:50852	CCND3P2		
HGNC:1587	CCNDBP1		DIP1, GCIP, HHM
HGNC:1589	CCNE1	CCNE	
HGNC:1590	CCNE2		CYCE2
HGNC:1591	CCNF		FBX1, FBXO1
HGNC:1592	CCNG1	CCNG	
HGNC:39177	CCNG1P1		
HGNC:1593	CCNG2		
HGNC:50853	CCNG2P1		
HGNC:1594	CCNH		p34, p37, CycH
HGNC:50854	CCNHP1		
